global_id,timestamp,run_tag,fee_rate,invest_percent,atr_mult_sl,atr_period,bb_period,bb_position_pct,bb_std_mult,confirmation_candles,ma_long,ma_short,macd_fast,macd_hist_min,macd_signal_period,macd_slow,max_position_candles,min_candles_between,momentum_period,momentum_threshold,rsi_oversold,rsi_period,sl_percent,tp_percent,use_atr_sl,use_bb,use_ma_cross,use_macd,use_momentum,use_rsi,use_volume,vol_ma_period,vol_multiplier,total_ops,ganadoras,perdedoras,winrate,ganancia_media_por_op,ganancia_media_ganadoras,perdida_media_perdedoras,mejor_operacion,peor_operacion,pnl_neto,pnl_por_operacion,roi_mensual,pnl_mensual,max_drawdown,score,tiempo_medio_h,ops_por_mes
918,2026-07-07T23:46:30.381397+00:00,20260707_234630,0.08,100.0,1.85,19,17,4.56,2.82,0,31,17,8,57,7,27,16,1,14,1.77,22,10,1.41,3.74,True,False,True,False,False,False,True,26,2.23,2442,1182,1260,48.4,0.15,2.15,-1.73,13.51,-20.2,-645.17,-0.26,-0.65,-6.51,41.56,0.69,12.32,24.65
919,2026-07-07T23:46:30.381411+00:00,20260707_234630,0.08,100.0,1.97,20,17,2.75,2.49,1,37,10,13,62,10,40,17,5,12,2.39,21,15,4.85,0.92,False,False,True,False,True,True,False,17,1.36,1184,767,417,64.78,0.12,1.59,-2.59,8.73,-17.28,-587.15,-0.5,-0.59,-5.93,44.51,2.65,9.74,11.95
920,2026-07-07T23:46:30.381421+00:00,20260707_234630,0.08,100.0,2.6,10,10,1.85,2.46,1,30,6,9,23,7,38,16,5,18,1.27,20,8,2.65,4.42,False,False,True,True,True,False,False,10,2.92,1518,763,755,50.26,0.3,2.41,-1.83,11.23,-9.97,3638.65,2.4,3.67,36.73,43.7,3.17,13.73,15.32
921,2026-07-07T23:46:30.381438+00:00,20260707_234630,0.08,100.0,1.94,20,24,0.83,2.43,1,47,11,15,55,10,36,9,1,7,0.5,40,13,4.68,2.01,False,False,False,True,False,True,False,26,2.45,1775,995,780,56.06,-0.02,1.45,-1.9,12.86,-21.5,-978.4,-0.55,-0.99,-9.88,87.28,-5.24,7.93,17.92
922,2026-07-07T23:46:30.381448+00:00,20260707_234630,0.08,100.0,1.67,20,20,2.83,2.9,1,36,6,14,23,8,40,11,5,5,2.81,31,18,4.63,2.33,True,True,False,True,False,False,False,21,2.58,3363,1724,1639,51.26,0.03,1.31,-1.31,9.81,-9.37,-991.71,-0.29,-1.0,-10.01,63.26,-2.29,8.96,33.95
923,2026-07-07T23:46:30.381460+00:00,20260707_234630,0.08,100.0,2.79,14,29,0.5,2.68,3,43,5,15,71,8,31,12,2,20,1.75,24,18,2.27,1.42,False,False,True,False,False,True,True,28,1.74,680,364,316,53.53,-0.0,1.56,-1.8,8.45,-16.43,-715.64,-1.05,-0.72,-7.22,46.71,0.42,8.56,6.86
924,2026-07-07T23:46:30.381472+00:00,20260707_234630,0.08,100.0,2.59,18,13,4.02,2.99,2,22,16,8,48,7,26,12,2,8,1.45,29,17,3.11,2.21,False,True,False,False,True,True,True,13,1.35,3107,1613,1494,51.92,0.02,1.84,-1.95,12.5,-18.63,-995.07,-0.32,-1.0,-10.04,74.29,-3.85,9.66,31.36
925,2026-07-07T23:46:30.381483+00:00,20260707_234630,0.08,100.0,1.73,15,22,1.06,2.64,0,50,8,19,29,12,30,13,5,6,1.33,33,15,4.23,4.49,False,True,True,True,False,False,True,20,2.36,2892,1504,1388,52.01,0.04,1.68,-1.74,13.48,-12.72,-989.03,-0.34,-1.0,-9.98,78.3,-4.45,12.25,29.19
926,2026-07-07T23:46:30.381492+00:00,20260707_234630,0.08,100.0,1.25,14,22,3.88,1.84,1,25,14,13,68,11,33,20,1,7,1.18,27,9,1.39,4.4,False,False,True,False,False,True,True,22,1.92,1520,680,840,44.74,0.01,2.25,-1.81,12.88,-18.63,-940.5,-0.62,-0.95,-9.49,84.53,-6.53,13.69,15.34
927,2026-07-07T23:46:30.381504+00:00,20260707_234630,0.08,100.0,2.43,11,13,2.75,2.5,1,44,8,15,76,10,31,14,5,12,2.11,38,13,2.64,4.93,True,True,True,True,True,True,False,23,1.24,3595,1842,1753,51.24,0.09,1.77,-1.68,12.89,-21.5,-978.66,-0.27,-0.99,-9.88,68.52,-3.07,12.42,36.29
928,2026-07-07T23:46:30.381516+00:00,20260707_234630,0.08,100.0,1.88,15,14,4.55,1.72,3,48,13,10,25,10,26,21,3,13,1.67,24,17,3.98,0.85,False,False,False,False,True,True,False,10,2.81,1467,987,480,67.28,0.1,1.49,-2.75,11.23,-10.15,-726.46,-0.5,-0.73,-7.33,49.72,2.19,10.16,14.81
929,2026-07-07T23:46:30.381528+00:00,20260707_234630,0.08,100.0,1.43,19,18,0.94,1.97,3,46,6,13,22,12,26,24,2,20,2.5,45,8,0.52,4.6,False,False,True,True,True,False,True,23,1.86,1464,385,1079,26.3,0.05,3.29,-1.1,9.28,-9.36,-856.71,-0.59,-0.86,-8.65,47.94,-3.77,9.27,14.78
930,2026-07-07T23:46:30.381539+00:00,20260707_234630,0.08,100.0,2.99,10,27,1.34,2.14,1,37,13,18,33,8,25,7,1,17,1.72,45,16,2.75,3.93,True,False,True,True,False,True,False,22,2.96,2848,1595,1253,56.0,0.04,1.23,-1.49,13.83,-17.28,-984.3,-0.35,-0.99,-9.94,69.27,-2.49,6.67,28.75
931,2026-07-07T23:46:30.381549+00:00,20260707_234630,0.08,100.0,2.29,18,30,3.5,2.0,1,34,15,11,49,11,21,10,2,17,1.92,39,9,1.52,3.08,False,True,True,False,True,False,True,13,1.19,3433,1682,1751,49.0,0.03,1.75,-1.62,12.5,-11.26,-995.01,-0.29,-1.0,-10.04,76.38,-4.59,7.74,34.65
932,2026-07-07T23:46:30.381563+00:00,20260707_234630,0.08,100.0,1.77,14,14,2.76,2.3,3,35,12,17,59,8,29,9,5,6,2.88,20,12,2.78,3.23,False,False,False,False,False,True,False,29,1.04,69,25,44,36.23,-0.79,1.31,-1.99,5.32,-9.14,-494.0,-7.16,-0.5,-4.99,45.56,-3.75,7.75,0.7
933,2026-07-07T23:46:30.381572+00:00,20260707_234630,0.08,100.0,2.44,10,27,2.99,1.93,2,32,10,14,64,10,30,19,5,6,2.72,42,15,0.54,1.26,True,False,False,True,False,False,False,18,1.73,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
